gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,0,0,0,-1.1585722564434118,0,1,0,2,0,2,0,0,0,0,0,3,-0.9991798966955427,-0.9484165312070284
1,0,1,1,-0.790872464816351,1,0,1,0,0,2,0,2,2,0,1,3,1.062183545535118,-0.494494629418518
0,0,1,1,-0.0554728815622295,1,2,1,0,2,0,0,0,2,0,1,2,0.8782825085153511,0.3154141206716624
1,0,1,1,0.3122269100648312,0,1,0,0,2,2,2,2,2,1,0,3,-0.1532351264046149,0.0736922005244267
0,0,1,1,-0.3823171407862835,0,1,0,2,0,0,2,0,0,2,0,3,-1.0125545175697075,-0.6489102778314335
1,0,0,0,-0.2597505435772633,1,0,2,1,1,1,1,1,1,1,0,3,-1.5207901107879729,-0.7761462972306277
0,1,1,0,1.619603946961047,1,2,1,2,2,2,2,2,2,2,1,1,1.7008216922764905,2.7232419869157023
1,0,1,1,1.4970373497520268,1,0,2,1,1,1,1,1,1,2,0,0,-1.494040869039643,-0.4000730401700365
1,0,1,1,0.5982156368858784,1,2,0,0,2,0,0,0,0,0,0,2,-0.3555262671263585,0.1133346838176108
0,0,0,0,-0.8317279972193578,1,2,1,0,0,0,0,2,2,0,1,2,0.980263992680858,-0.5460917300258674
1,0,0,0,-0.0554728815622295,1,2,1,0,2,0,0,0,0,0,1,2,0.5439169866612293,0.1585677737290646
0,0,1,1,-1.117716724040405,1,0,1,0,0,0,2,2,0,0,1,2,0.6977251267141251,-0.8002765044525657
1,0,1,0,0.5982156368858784,1,0,2,1,1,1,1,1,1,1,0,0,-1.5040718346952668,-0.5916783760870931
1,0,0,0,0.9250598961099324,1,0,1,2,2,0,0,2,2,1,1,3,1.20428889232312,1.445291186305492
0,1,1,0,1.2110486229309796,1,0,0,2,0,2,2,2,2,2,1,1,0.5037931240387346,1.1216547257079588
1,0,0,0,0.8842043637069257,1,0,1,2,2,0,2,2,2,1,1,1,1.354753377157475,1.4856628791575806
1,0,1,0,1.619603946961047,1,2,1,2,2,2,2,2,2,2,0,1,1.6573541744354547,2.692902449813393
0,0,0,0,-0.954294594428378,1,0,1,0,0,0,0,2,2,0,1,0,0.8665797152504565,-0.650545475024129
1,0,0,0,-0.7500169324133442,1,2,1,0,0,0,2,2,0,0,1,2,0.8381586458928564,-0.4876223817573249
0,0,1,1,-1.281138853652432,1,0,2,1,1,1,1,1,1,0,0,2,-1.5191182831787022,-0.9998147564801312
1,0,0,0,-1.281138853652432,1,0,0,0,0,0,0,0,0,0,0,1,-0.6246905122189264,-0.9879927227221303
0,0,1,1,-0.627450335204324,1,0,1,2,0,0,2,2,0,0,0,2,0.9016880950451392,-0.3125899903608303
1,1,0,0,0.1079492480497974,1,2,1,0,0,0,0,2,2,0,1,2,1.0220596829126234,0.5269290872727542
1,0,0,0,-1.0360056592343916,1,2,1,0,0,0,0,2,2,0,0,2,1.0471370970516825,-0.7256982541100371
0,0,0,0,-0.954294594428378,1,0,0,0,0,0,2,2,0,0,1,0,-0.1799843681529445,-0.7741575438881602
0,1,0,0,0.9659154285129392,1,2,1,2,2,2,0,2,2,1,0,2,1.5252797933030764,1.7049118865349344
0,0,0,1,-0.7091614000103375,1,0,1,0,2,0,0,0,2,0,1,0,0.7027406095419372,-0.4473390779426792
0,0,1,1,1.2927596877369931,1,2,1,2,0,0,2,2,2,1,1,0,1.3213168249720624,1.9621681800127773
1,1,0,0,-0.7091614000103375,1,0,1,0,0,0,0,0,2,0,1,2,0.485403020336758,-0.4974777594322191
1,0,0,0,-1.281138853652432,1,0,2,1,1,1,1,1,1,0,0,3,-1.4639479720727722,-0.9990855469212264
1,1,0,0,1.4561818173490202,1,0,2,1,1,1,1,1,1,2,1,1,-1.5007281794767255,-0.3914551090193444
1,0,1,0,0.1488047804528042,1,0,2,1,1,1,1,1,1,1,0,3,-1.5007281794767255,-0.7137436367958718
1,0,1,0,0.7616377664979054,0,1,0,0,2,0,0,0,0,0,1,1,-1.1646908300133332,-0.3324775237855046
0,0,0,0,0.3939379748708447,1,0,0,2,2,2,2,0,2,1,0,1,0.301501983316991,0.3883792710808565
1,0,0,0,-1.0768611916373982,1,2,1,0,0,0,2,0,2,0,1,0,0.771285541522032,-0.7775605218297156
0,1,1,0,-1.1994277888464184,1,0,1,0,0,0,2,2,0,0,1,3,0.6358675051711128,-0.8902344473101758
