dataset,ds_uci_id,ds_n_total,ds_n_model,ds_pca_dim,encoding,model_family,model_variant,model,flow,qubits,circuit_gate_count,circuit_cnot_count,circuit_depth,circuit_depth_no_meas,encoding_gate_count,encoding_cnot_count,encoding_depth,encoding_depth_no_meas,shots,evals,accuracy,precision,recall,f1,roc_auc,sim_total_seconds,qpu_est_seconds,enc_bench_seconds_total,enc_bench_seconds_scale,enc_bench_seconds_build,enc_bench_ms_per_sample,ds_load_seconds,ds_preprocess_seconds,ds_timestamp_mode,ds_target_mode,ds_pos_rate,ds_impute_seconds,encoding_params,num_params,status,status_detail,error_type,encoding_reps_in_flow,flow_encoding_gate_count,flow_encoding_cnot_count,flow_nonencoding_gate_count,flow_nonencoding_cnot_count,balanced_accuracy,tn,fp,fn,tp,specificity,sim_quantum_seconds,sim_classical_seconds,scaled_total_seconds,enc_bench_n,enc_over_sim_total_ratio,enc_over_qpu_ratio
uci_799,799,416153,60,4,amplitude,QSVM,KernelOverlap,QSVM (KernelOverlap),Flow-2: Quantum model + classical decision,2,32.0,2.0,23.0,22.0,16,1,11,11,,618,0.6666666666666666,1.0,0.2857142857142857,0.4444444444444444,,0.8761923000274692,,0.016282400029012933,0.0009046000195667148,0.015377800009446219,0.2713733338168822,98.94167420000304,0.23571469998569228,numeric,any,0.8189704267420876,0.0,"{""rescale"": ""unit""}",,OK,,,2,32,2,0.0,0.0,0.6428571428571428,8.0,0.0,5.0,2.0,1.0,0.43551880001905374,0.44067350000841543,,60,0.018583135264373437,
uci_799,799,416153,60,4,amplitude,QSVM,LS-SVM,QSVM (LS-SVM),Flow-2: Quantum model + classical decision,2,32.0,2.0,23.0,22.0,16,1,11,11,,618,0.8666666666666667,1.0,0.7142857142857143,0.8333333333333334,0.875,0.9601230000553187,,0.016282400029012933,0.0009046000195667148,0.015377800009446219,0.2713733338168822,98.94167420000304,0.23571469998569228,numeric,any,0.8189704267420876,0.0,"{""rescale"": ""unit""}",,OK,,,2,32,2,0.0,0.0,0.8571428571428572,8.0,0.0,2.0,5.0,1.0,0.4789667000004556,0.4811563000548631,,60,0.016958660534196975,
uci_799,799,416153,60,4,amplitude,QKNN,SwapTest,QKNN (SwapTest),Flow-2: Quantum model + classical decision,5,148.0,18.0,69.0,68.0,16,1,11,11,,450,0.6666666666666666,1.0,0.2857142857142857,0.4444444444444444,1.0,0.26823400001740083,,0.016282400029012933,0.0009046000195667148,0.015377800009446219,0.2713733338168822,98.94167420000304,0.23571469998569228,numeric,any,0.8189704267420876,0.0,"{""rescale"": ""unit""}",,OK,,,2,32,2,116.0,16.0,0.6428571428571428,8.0,0.0,5.0,2.0,1.0,0.2650324999995064,0.003201500017894432,,60,0.06070222279038699,
uci_799,799,416153,60,4,amplitude,QKNN,GroverStyle,QKNN (GroverStyle),Flow-2: Quantum model + classical decision,5,148.0,18.0,69.0,68.0,16,1,11,11,,450,0.6666666666666666,1.0,0.2857142857142857,0.4444444444444444,1.0,0.2550850000116043,,0.016282400029012933,0.0009046000195667148,0.015377800009446219,0.2713733338168822,98.94167420000304,0.23571469998569228,numeric,any,0.8189704267420876,0.0,"{""rescale"": ""unit""}",,OK,,,2,32,2,116.0,16.0,0.6428571428571428,8.0,0.0,5.0,2.0,1.0,0.25373470000340603,0.0013503000081982464,,60,0.06383127203979935,
uci_799,799,416153,60,4,amplitude,QDT,AxisAligned,QDT (AxisAligned),Flow-2: Quantum model + classical decision,2,16.0,1.0,12.0,11.0,16,1,11,11,,58,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765,,0.33045490001677535,,0.016282400029012933,0.0009046000195667148,0.015377800009446219,0.2713733338168822,98.94167420000304,0.23571469998569228,numeric,any,0.8189704267420876,0.0,"{""rescale"": ""unit""}",,OK,,,1,16,1,0.0,0.0,0.7222222222222222,7.0,2.0,3.0,6.0,0.7777777777777778,0.28413040001760237,0.046324499999172986,,60,0.04927268449699601,
uci_799,799,416153,60,4,amplitude,QDT,EntangledParity,QDT (EntangledParity),Flow-2: Quantum model + classical decision,2,16.0,1.0,12.0,11.0,16,1,11,11,,58,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421,,0.40626369998790324,,0.016282400029012933,0.0009046000195667148,0.015377800009446219,0.2713733338168822,98.94167420000304,0.23571469998569228,numeric,any,0.8189704267420876,0.0,"{""rescale"": ""unit""}",,OK,,,1,16,1,0.0,0.0,0.6111111111111112,5.0,4.0,3.0,6.0,0.5555555555555556,0.3636994000116829,0.042564299976220354,,60,0.04007840235171824,
uci_799,799,416153,60,4,amplitude,QDT,FullQuantumStump,QDT (FullQuantumStump),Flow-1: Quantum model + quantum decision,3,23.0,3.0,19.0,18.0,16,1,11,11,,26,0.5555555555555556,1.0,0.1111111111111111,0.2,0.7530864197530864,0.15632909996202216,,0.016282400029012933,0.0009046000195667148,0.015377800009446219,0.2713733338168822,98.94167420000304,0.23571469998569228,numeric,any,0.8189704267420876,0.0,"{""rescale"": ""unit""}",,OK,,,1,16,1,7.0,2.0,0.5555555555555556,9.0,0.0,8.0,1.0,1.0,0.14835879998281598,0.007970299979206175,,60,0.10415463296960388,
uci_799,799,416153,60,4,amplitude,QNN,Base,QNN,Flow-1: Quantum model + quantum decision,2,44.0,5.0,28.0,27.0,16,1,11,11,,165,0.13333333333333333,0.2,0.2857142857142857,0.23529411764705882,0.25,4.557318367034645,,0.016282400029012933,0.0009046000195667148,0.015377800009446219,0.2713733338168822,98.94167420000304,0.23571469998569228,numeric,any,0.8189704267420876,0.0,"{""rescale"": ""unit""}",8.0,OK,,,1,16,1,28.0,4.0,0.14285714285714285,0.0,8.0,5.0,2.0,0.0,3.896937000012258,0.6603813670223868,,60,0.003572802845373202,
uci_799,799,416153,60,4,amplitude,QCNN,Base,QCNN,Flow-1: Quantum model + quantum decision,2,45.0,5.0,35.0,34.0,16,1,11,11,,165,0.3333333333333333,0.38461538461538464,0.7142857142857143,0.5,0.4464285714285714,1.2239015143659995,,0.016282400029012933,0.0009046000195667148,0.015377800009446219,0.2713733338168822,98.94167420000304,0.23571469998569228,numeric,any,0.8189704267420876,0.0,"{""rescale"": ""unit""}",9.0,OK,,,1,16,1,29.0,4.0,0.35714285714285715,0.0,8.0,2.0,5.0,0.0,0.5651320999895688,0.6587694143764307,,60,0.013303684845465263,
uci_799,799,416153,60,4,histogram,QSVM,KernelOverlap,QSVM (KernelOverlap),Flow-2: Quantum model + classical decision,2,32.0,2.0,23.0,22.0,16,1,11,11,,618,0.6,1.0,0.14285714285714285,0.25,,0.7603415999910794,,0.010150700021767989,0.0009046000195667148,0.009246100002201274,0.16917833369613314,98.94167420000304,0.23571469998569228,numeric,any,0.8189704267420876,0.0,"{""mode"": ""abs""}",,OK,,,2,32,2,0.0,0.0,0.5714285714285714,8.0,0.0,6.0,1.0,1.0,0.3783564000041224,0.381985199986957,,60,0.013350183683080184,
